i3.large,2,7,15.25,1 x 475 NVMe SSD,0.183
i3.xlarge,4,13,30.5,1 x 950 NVMe SSD,0.366
i3.2xlarge,8,27,61,1 x 1900 NVMe SSD,0.732
i3.4xlarge,16,53,122,2 x 1900 NVMe SSD,1.464
i3.8xlarge,32,99,244,4 x 1900 NVMe SSD,2.928
i3.16xlarge,64,200,488,8 x 1900 NVMe SSD,5.856
i3.metal,72,208,512,8 x 1900 NVMe SSD,5.856
d2.xlarge,4,14,30.5,3 x 2000 HDD,0.844
d2.2xlarge,8,28,61,6 x 2000 HDD,1.688
d2.4xlarge,16,56,122,12 x 2000 HDD,3.376
d2.8xlarge,36,116,244,24 x 2000 HDD,6.752
